iter	Passed	Remaining
0	13	13151
1	19	9955
2	24	8156
3	29	7390
4	35	7124
5	40	6665
6	45	6384
7	50	6201
8	56	6272
9	62	6168
10	68	6125
11	72	6004
12	77	5889
13	84	5919
14	88	5806
15	93	5721
16	97	5643
17	105	5751
18	111	5766
19	119	5848
20	124	5782
21	128	5707
22	135	5740
23	140	5695
24	145	5668
25	151	5670
26	155	5618
27	160	5571
28	166	5579
29	171	5538
30	175	5491
31	180	5468
32	186	5457
33	190	5424
34	195	5391
35	202	5414
36	206	5383
37	211	5352
38	218	5372
39	223	5360
40	230	5396
41	235	5377
42	240	5345
43	244	5318
44	250	5316
45	255	5291
46	259	5263
47	265	5269
48	270	5245
49	274	5220
50	280	5228
51	285	5204
52	289	5179
53	294	5157
54	300	5155
55	304	5136
56	309	5112
57	320	5198
58	327	5228
59	335	5257
60	342	5272
61	348	5279
62	353	5256
63	357	5224
64	363	5226
65	368	5216
66	373	5196
67	380	5213
68	385	5197
69	389	5178
70	396	5182
71	400	5164
72	405	5144
73	411	5149
74	417	5145
75	423	5152
76	429	5152
77	434	5135
78	439	5119
79	445	5121
80	449	5103
81	454	5084
82	459	5080
83	464	5067
84	469	5050
85	474	5038
86	479	5034
87	484	5018
88	488	5004
89	494	5001
90	499	4985
91	503	4970
92	509	4971
93	515	4969
94	522	4980
95	528	4974
96	532	4959
97	537	4946
98	542	4938
99	549	4942
100	554	4936
101	562	4954
102	567	4941
103	572	4931
104	577	4925
105	582	4914
106	587	4901
107	593	4900
108	597	4887
109	602	4874
110	609	4882
111	613	4868
112	618	4856
113	624	4857
114	629	4845
115	634	4832
116	641	4838
117	646	4833
118	652	4831
119	658	4827
120	662	4814
121	667	4803
122	673	4804
123	678	4793
124	684	4789
125	689	4786
126	695	4781
127	700	4770
128	706	4769
129	710	4756
130	715	4745
131	721	4745
132	726	4734
133	730	4724
134	735	4714
135	742	4717
136	748	4716
137	755	4718
138	759	4707
139	764	4697
140	771	4699
141	776	4690
142	781	4680
143	787	4679
144	791	4669
145	797	4661
146	802	4657
147	807	4649
148	812	4639
149	819	4644
150	824	4635
151	829	4625
152	834	4622
153	840	4615
154	844	4605
155	849	4595
156	855	4592
157	861	4591
158	868	4595
159	873	4587
160	879	4584
161	888	4593
162	893	4586
163	898	4582
164	905	4583
165	911	4578
166	917	4575
167	922	4567
168	927	4563
169	935	4566
170	940	4557
171	944	4548
172	950	4545
173	957	4543
174	962	4538
175	968	4536
176	973	4527
177	978	4519
178	985	4518
179	990	4510
180	994	4501
181	1000	4496
182	1005	4488
183	1010	4479
184	1016	4476
185	1021	4468
186	1025	4459
187	1031	4453
188	1036	4446
189	1043	4448
190	1049	4447
191	1058	4453
192	1063	4446
193	1068	4441
194	1074	4435
195	1079	4428
196	1085	4423
197	1090	4417
198	1096	4411
199	1101	4404
200	1106	4398
201	1111	4389
202	1117	4388
203	1124	4387
204	1131	4386
205	1136	4382
206	1142	4378
207	1150	4379
208	1156	4377
209	1162	4374
210	1167	4366
211	1172	4357
212	1177	4349
213	1183	4347
214	1188	4338
215	1192	4329
216	1199	4326
217	1203	4317
218	1208	4308
219	1213	4304
220	1218	4295
221	1224	4289
222	1229	4285
223	1234	4277
224	1239	4268
225	1245	4263
226	1251	4260
227	1258	4260
228	1264	4257
229	1270	4252
230	1275	4246
231	1282	4244
232	1286	4236
233	1291	4228
234	1297	4225
235	1302	4217
236	1307	4208
237	1313	4204
238	1317	4195
239	1322	4187
240	1328	4184
241	1333	4176
242	1338	4168
243	1345	4168
244	1349	4159
245	1354	4151
246	1362	4154
247	1369	4151
248	1374	4145
249	1379	4138
250	1384	4130
251	1388	4122
252	1395	4119
253	1399	4111
254	1404	4102
255	1410	4098
256	1414	4089
257	1419	4081
258	1424	4076
259	1430	4072
260	1435	4065
261	1441	4060
262	1446	4054
263	1451	4046
264	1457	4041
265	1462	4036
266	1469	4033
267	1475	4029
268	1480	4022
269	1484	4013
270	1490	4009
271	1495	4002
272	1500	3995
273	1506	3992
274	1511	3984
275	1516	3977
276	1521	3971
277	1526	3964
278	1531	3957
279	1538	3955
280	1543	3950
281	1549	3945
282	1555	3940
283	1561	3935
284	1567	3933
285	1573	3928
286	1578	3921
287	1583	3913
288	1588	3908
289	1593	3901
290	1598	3893
291	1603	3888
292	1608	3880
293	1612	3872
294	1619	3869
295	1624	3862
296	1628	3855
297	1634	3851
298	1639	3844
299	1644	3837
300	1651	3834
301	1656	3828
302	1661	3821
303	1666	3815
304	1672	3811
305	1678	3807
306	1684	3803
307	1689	3796
308	1694	3789
309	1700	3785
310	1705	3778
311	1710	3771
312	1715	3766
313	1720	3759
314	1725	3752
315	1730	3746
316	1736	3741
317	1741	3734
318	1746	3727
319	1751	3722
320	1756	3715
321	1761	3708
322	1767	3704
323	1774	3701
324	1778	3694
325	1784	3689
326	1789	3682
327	1793	3675
328	1799	3671
329	1804	3664
330	1809	3657
331	1816	3653
332	1820	3646
333	1825	3639
334	1831	3635
335	1836	3628
336	1840	3621
337	1846	3617
338	1851	3610
339	1856	3603
340	1861	3598
341	1866	3592
342	1871	3584
343	1876	3577
344	1882	3574
345	1888	3568
346	1893	3563
347	1899	3558
348	1903	3550
349	1908	3544
350	1914	3540
351	1919	3534
352	1924	3527
353	1930	3523
354	1935	3516
355	1939	3509
356	1946	3505
357	1950	3498
358	1955	3491
359	1961	3486
360	1965	3479
